,Verb/Skill,Frequency,Grade,Subject
28,deepen,3,Grade 6,ENGLISH LANGUAGE ARTS AND READING
29,establish,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
30,assign,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
31,select,4,Grade 6,ENGLISH LANGUAGE ARTS AND READING
32,generate,2,Grade 6,ENGLISH LANGUAGE ARTS AND READING
33,gain,2,Grade 6,ENGLISH LANGUAGE ARTS AND READING
34,make,4,Grade 6,ENGLISH LANGUAGE ARTS AND READING
35,correct,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
36,confirm,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
37,create,2,Grade 6,ENGLISH LANGUAGE ARTS AND READING
38,support,4,Grade 6,ENGLISH LANGUAGE ARTS AND READING
39,evaluate,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
40,monitor,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
41,annotate,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
42,understand,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
43,break,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
44,hear,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
45,view,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
46,describe,2,Grade 6,ENGLISH LANGUAGE ARTS AND READING
47,write,5,Grade 6,ENGLISH LANGUAGE ARTS AND READING
48,demonstrate,2,Grade 6,ENGLISH LANGUAGE ARTS AND READING
49,compare,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
50,summarize,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
51,maintain,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
52,discuss,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
53,reflect,3,Grade 6,ENGLISH LANGUAGE ARTS AND READING
54,present,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
55,recognize,2,Grade 6,ENGLISH LANGUAGE ARTS AND READING
56,analyze,15,Grade 6,ENGLISH LANGUAGE ARTS AND READING
57,infer,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
58,rise,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
59,fall,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
60,control,2,Grade 6,ENGLISH LANGUAGE ARTS AND READING
61,explain,3,Grade 6,ENGLISH LANGUAGE ARTS AND READING
62,intend,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
63,influence,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
64,apply,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
65,contribute,2,Grade 6,ENGLISH LANGUAGE ARTS AND READING
66,achieve,3,Grade 6,ENGLISH LANGUAGE ARTS AND READING
67,compose,5,Grade 6,ENGLISH LANGUAGE ARTS AND READING
68,organize,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
69,revise,2,Grade 6,ENGLISH LANGUAGE ARTS AND READING
70,complete,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
71,verb,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
72,subordinate,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
73,form,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
74,confuse,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
75,affect,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
76,publish,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
77,convey,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
78,register,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
79,request,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
80,engage,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
81,guide,2,Grade 6,ENGLISH LANGUAGE ARTS AND READING
82,refine,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
83,gather,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
84,examine,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
85,display,1,Grade 6,ENGLISH LANGUAGE ARTS AND READING
