,Unnamed: 0,Verb/Skill,Frequency,Grade,Subject
5,5,distinguish,1,Grade 8,DANCE
6,6,implement,1,Grade 8,DANCE
7,7,apply,3,Grade 8,DANCE
8,8,create,3,Grade 8,DANCE
9,9,perform,4,Grade 8,DANCE
10,10,express,1,Grade 8,DANCE
11,11,communicate,2,Grade 8,DANCE
12,12,project,1,Grade 8,DANCE
13,13,evaluate,4,Grade 8,DANCE
14,14,incorporate,2,Grade 8,DANCE
15,15,practice,1,Grade 8,DANCE
16,16,contrast,2,Grade 8,DANCE
17,17,identify,1,Grade 8,DANCE
18,18,represent,1,Grade 8,DANCE
19,19,make,1,Grade 8,DANCE
20,20,compare,1,Grade 8,DANCE
21,21,justify,1,Grade 8,DANCE
0,0,develop,14,Grade 4,ENGLISH LANGUAGE ARTS AND READING
1,1,sustain,7,Grade 4,ENGLISH LANGUAGE ARTS AND READING
2,2,speak,15,Grade 4,ENGLISH LANGUAGE ARTS AND READING
3,3,think,9,Grade 4,ENGLISH LANGUAGE ARTS AND READING
4,4,listen,5,Grade 4,ENGLISH LANGUAGE ARTS AND READING
5,5,expect,13,Grade 4,ENGLISH LANGUAGE ARTS AND READING
6,6,ask,2,Grade 4,ENGLISH LANGUAGE ARTS AND READING
7,7,clarify,2,Grade 4,ENGLISH LANGUAGE ARTS AND READING
8,8,make,5,Grade 4,ENGLISH LANGUAGE ARTS AND READING
9,9,follow,2,Grade 4,ENGLISH LANGUAGE ARTS AND READING
10,10,give,1,Grade 4,ENGLISH LANGUAGE ARTS AND READING
11,11,involve,1,Grade 4,ENGLISH LANGUAGE ARTS AND READING
12,12,express,1,Grade 4,ENGLISH LANGUAGE ARTS AND READING
13,13,support,6,Grade 4,ENGLISH LANGUAGE ARTS AND READING
14,14,employ,1,Grade 4,ENGLISH LANGUAGE ARTS AND READING
15,15,communicate,3,Grade 4,ENGLISH LANGUAGE ARTS AND READING
16,16,work,1,Grade 4,ENGLISH LANGUAGE ARTS AND READING
17,17,share,1,Grade 4,ENGLISH LANGUAGE ARTS AND READING
18,18,begin,1,Grade 4,ENGLISH LANGUAGE ARTS AND READING
19,19,read,10,Grade 4,ENGLISH LANGUAGE ARTS AND READING
20,20,spell,3,Grade 4,ENGLISH LANGUAGE ARTS AND READING
21,21,apply,3,Grade 4,ENGLISH LANGUAGE ARTS AND READING
22,22,decode,5,Grade 4,ENGLISH LANGUAGE ARTS AND READING
23,23,include,18,Grade 4,ENGLISH LANGUAGE ARTS AND READING
24,24,control,2,Grade 4,ENGLISH LANGUAGE ARTS AND READING
25,25,use,38,Grade 4,ENGLISH LANGUAGE ARTS AND READING
26,26,change,4,Grade 4,ENGLISH LANGUAGE ARTS AND READING
27,27,drop,2,Grade 4,ENGLISH LANGUAGE ARTS AND READING
28,28,double,2,Grade 4,ENGLISH LANGUAGE ARTS AND READING
29,29,base,1,Grade 4,ENGLISH LANGUAGE ARTS AND READING
30,30,demonstrate,4,Grade 4,ENGLISH LANGUAGE ARTS AND READING
31,31,write,4,Grade 4,ENGLISH LANGUAGE ARTS AND READING
32,32,complete,2,Grade 4,ENGLISH LANGUAGE ARTS AND READING
33,33,acquire,2,Grade 4,ENGLISH LANGUAGE ARTS AND READING
34,34,determine,4,Grade 4,ENGLISH LANGUAGE ARTS AND READING
35,35,mean,1,Grade 4,ENGLISH LANGUAGE ARTS AND READING
36,36,identify,7,Grade 4,ENGLISH LANGUAGE ARTS AND READING
37,37,explain,9,Grade 4,ENGLISH LANGUAGE ARTS AND READING
38,38,deepen,3,Grade 4,ENGLISH LANGUAGE ARTS AND READING
39,39,establish,1,Grade 4,ENGLISH LANGUAGE ARTS AND READING
40,40,assign,1,Grade 4,ENGLISH LANGUAGE ARTS AND READING
41,41,select,3,Grade 4,ENGLISH LANGUAGE ARTS AND READING
42,42,generate,2,Grade 4,ENGLISH LANGUAGE ARTS AND READING
43,43,gain,1,Grade 4,ENGLISH LANGUAGE ARTS AND READING
